year,sector,class,cfn_tle1,cfn_tle2,units,magnitude,source,data_value,flag
2009,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2010,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2011,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,F
2012,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,F
2013,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2014,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,F
2015,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2016,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,F
2017,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2018,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,F
2019,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.1,P
2020,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,P
2009,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,408,F
2010,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,420,F
2011,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,399,F
2012,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,411,F
2013,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,438,F
2014,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,440,F
2015,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,465,F
2016,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,457,F
2017,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,520,F
2018,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,542,F
2019,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,546,P
2020,Central government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,631,P
2009,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.3,F
2010,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.9,F
2011,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.5,F
2012,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.4,F
2013,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.6,F
2014,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1,F
2015,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,F
2016,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.6,F
2017,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.7,F
2018,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.6,F
2019,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.9,P
2020,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.9,P
2009,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,13,F
2010,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,102,F
2011,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,90,F
2012,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,74,F
2013,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,79,F
2014,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,57,F
2015,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,50,F
2016,Central government,Total,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,44,F
